cvr,livestock_n,cattle_cnt,pig_cnt,poultry_cnt,n_chr,rows,year
10068045,0.0,0.0,0.0,0.0,0,3,2015
10068185,0.0,0.0,0.0,0.0,0,5,2015
10070031,0.0,0.0,0.0,0.0,0,1,2015
10071771,0.0,0.0,0.0,0.0,0,6,2015
10073308,0.0,0.0,0.0,0.0,0,4,2015
10074061,0.0,0.0,0.0,0.0,0,3,2015
10074525,0.0,0.0,0.0,0.0,0,1,2015
10076900,0.0,0.0,0.0,0.0,0,2,2015
10079691,0.0,0.0,0.0,0.0,0,7,2015
10079748,0.0,0.0,0.0,0.0,0,4,2015
10079802,0.0,0.0,0.0,0.0,0,8,2015
10080738,0.0,0.0,0.0,0.0,0,5,2015
10081904,0.0,0.0,0.0,0.0,0,3,2015
10087333,0.0,0.0,0.0,0.0,0,7,2015
10087813,0.0,0.0,0.0,0.0,0,5,2015
10092973,0.0,0.0,0.0,0.0,0,2,2015
10094178,0.0,0.0,0.0,0.0,0,4,2015
10094291,0.0,0.0,0.0,0.0,0,12,2015
10094305,0.0,0.0,0.0,0.0,0,2,2015
10094577,0.0,0.0,0.0,0.0,0,7,2015
10094704,0.0,0.0,0.0,0.0,0,5,2015
10094992,0.0,0.0,0.0,0.0,0,5,2015
10097681,0.0,0.0,0.0,0.0,0,2,2015
10097738,0.0,0.0,0.0,0.0,0,1,2015
10098505,0.0,0.0,0.0,0.0,0,1,2015
10098807,0.0,0.0,0.0,0.0,0,7,2015
10100038,0.0,0.0,0.0,0.0,0,1,2015
10102383,0.0,0.0,0.0,0.0,0,6,2015
10106796,0.0,0.0,0.0,0.0,0,5,2015
10108993,0.0,0.0,0.0,0.0,0,7,2015
10110483,0.0,0.0,0.0,0.0,0,7,2015
10111706,0.0,0.0,0.0,0.0,0,5,2015
10112885,0.0,0.0,0.0,0.0,0,3,2015
10114292,0.0,0.0,0.0,0.0,0,6,2015
10117097,0.0,0.0,0.0,0.0,0,1,2015
10117674,0.0,0.0,0.0,0.0,0,5,2015
10117976,0.0,0.0,0.0,0.0,0,4,2015
10119731,0.0,0.0,0.0,0.0,0,6,2015
10120233,0.0,0.0,0.0,0.0,0,1,2015
10120373,0.0,0.0,0.0,0.0,0,2,2015
10120632,0.0,0.0,0.0,0.0,0,5,2015
10120780,0.0,0.0,0.0,0.0,0,4,2015
10123119,0.0,0.0,0.0,0.0,0,5,2015
10123887,0.0,0.0,0.0,0.0,0,3,2015
10124638,0.0,0.0,0.0,0.0,0,6,2015
10126274,0.0,0.0,0.0,0.0,0,1,2015
10127505,0.0,0.0,0.0,0.0,0,1,2015
10127874,0.0,0.0,0.0,0.0,0,5,2015
10128188,0.0,0.0,0.0,0.0,0,5,2015
10129109,0.0,0.0,0.0,0.0,0,3,2015
10133904,0.0,0.0,0.0,0.0,0,5,2015
10134986,0.0,0.0,0.0,0.0,0,10,2015
10135443,0.0,0.0,0.0,0.0,0,3,2015
10137195,0.0,0.0,0.0,0.0,0,2,2015
10145201,0.0,0.0,0.0,0.0,0,5,2015
10145597,0.0,0.0,0.0,0.0,0,5,2015
10146178,0.0,0.0,0.0,0.0,0,2,2015
10146542,0.0,0.0,0.0,0.0,0,1,2015
10146712,0.0,0.0,0.0,0.0,0,1,2015
10146879,0.0,0.0,0.0,0.0,0,6,2015
10149835,0.0,0.0,0.0,0.0,0,1,2015
10150175,0.0,0.0,0.0,0.0,0,7,2015
10154189,0.0,0.0,0.0,0.0,0,10,2015
10156092,0.0,0.0,0.0,0.0,0,4,2015
10157390,0.0,0.0,0.0,0.0,0,6,2015
10159431,0.0,0.0,0.0,0.0,0,7,2015
10159679,0.0,0.0,0.0,0.0,0,2,2015
10159970,0.0,0.0,0.0,0.0,0,6,2015
10163382,0.0,0.0,0.0,0.0,0,1,2015
10163471,0.0,0.0,0.0,0.0,0,2,2015
10163609,0.0,0.0,0.0,0.0,0,7,2015
10164079,0.0,0.0,0.0,0.0,0,10,2015
10164389,0.0,0.0,0.0,0.0,0,4,2015
10164699,0.0,0.0,0.0,0.0,0,8,2015
10165466,0.0,0.0,0.0,0.0,0,5,2015
10165563,0.0,0.0,0.0,0.0,0,8,2015
10165741,0.0,0.0,0.0,0.0,0,1,2015
10166314,0.0,0.0,0.0,0.0,0,6,2015
10166586,0.0,0.0,0.0,0.0,0,11,2015
10166675,0.0,0.0,0.0,0.0,0,5,2015
10166810,0.0,0.0,0.0,0.0,0,10,2015
10166942,0.0,0.0,0.0,0.0,0,5,2015
10168120,0.0,0.0,0.0,0.0,0,4,2015
10168732,0.0,0.0,0.0,0.0,0,4,2015
10169119,0.0,0.0,0.0,0.0,0,4,2015
10170257,0.0,0.0,0.0,0.0,0,4,2015
10171091,0.0,0.0,0.0,0.0,0,1,2015
10171113,0.0,0.0,0.0,0.0,0,5,2015
10172098,0.0,0.0,0.0,0.0,0,1,2015
10175488,0.0,0.0,0.0,0.0,0,10,2015
10175607,0.0,0.0,0.0,0.0,0,1,2015
10176409,0.0,0.0,0.0,0.0,0,1,2015
10176441,0.0,0.0,0.0,0.0,0,6,2015
10176530,0.0,0.0,0.0,0.0,0,4,2015
10177685,0.0,0.0,0.0,0.0,0,3,2015
10178878,0.0,0.0,0.0,0.0,0,6,2015
10178924,0.0,0.0,0.0,0.0,0,1,2015
10180120,0.0,0.0,0.0,0.0,0,6,2015
10180279,0.0,0.0,0.0,0.0,0,10,2015
10183995,0.0,0.0,0.0,0.0,0,5,2015
10184096,0.0,0.0,0.0,0.0,0,6,2015
10185130,0.0,0.0,0.0,0.0,0,1,2015
10186838,0.0,0.0,0.0,0.0,0,6,2015
10187486,0.0,0.0,0.0,0.0,0,2,2015
10188075,0.0,0.0,0.0,0.0,0,3,2015
10188245,0.0,0.0,0.0,0.0,0,1,2015
10188695,0.0,0.0,0.0,0.0,0,6,2015
10188768,0.0,0.0,0.0,0.0,0,5,2015
10190045,0.0,0.0,0.0,0.0,0,13,2015
10191300,0.0,0.0,0.0,0.0,0,6,2015
10191467,0.0,0.0,0.0,0.0,0,10,2015
10191556,0.0,0.0,0.0,0.0,0,9,2015
10191750,0.0,0.0,0.0,0.0,0,3,2015
10192013,0.0,0.0,0.0,0.0,0,9,2015
10192595,0.0,0.0,0.0,0.0,0,5,2015
10193567,0.0,0.0,0.0,0.0,0,6,2015
10194016,0.0,0.0,0.0,0.0,0,11,2015
10194237,0.0,0.0,0.0,0.0,0,1,2015
10195276,0.0,0.0,0.0,0.0,0,5,2015
10195470,0.0,0.0,0.0,0.0,0,4,2015
10195896,0.0,0.0,0.0,0.0,0,13,2015
10196132,0.0,0.0,0.0,0.0,0,5,2015
10196698,0.0,0.0,0.0,0.0,0,2,2015
10196795,0.0,0.0,0.0,0.0,0,3,2015
10197430,0.0,0.0,0.0,0.0,0,5,2015
10200156,0.0,0.0,0.0,0.0,0,3,2015
10200830,0.0,0.0,0.0,0.0,0,6,2015
10201675,0.0,0.0,0.0,0.0,0,5,2015
10201845,0.0,0.0,0.0,0.0,0,5,2015
10202302,0.0,0.0,0.0,0.0,0,2,2015
10202833,0.0,0.0,0.0,0.0,0,6,2015
10203090,0.0,0.0,0.0,0.0,0,6,2015
10205107,0.0,0.0,0.0,0.0,0,5,2015
10205190,0.0,0.0,0.0,0.0,0,18,2015
10211972,0.0,0.0,0.0,0.0,0,1,2015
10212235,0.0,0.0,0.0,0.0,0,5,2015
10215730,0.0,0.0,0.0,0.0,0,2,2015
10216443,0.0,0.0,0.0,0.0,0,6,2015
10218349,0.0,0.0,0.0,0.0,0,5,2015
10220408,0.0,0.0,0.0,0.0,0,7,2015
10220483,0.0,0.0,0.0,0.0,0,8,2015
10221773,0.0,0.0,0.0,0.0,0,6,2015
10223849,0.0,0.0,0.0,0.0,0,7,2015
10225531,0.0,0.0,0.0,0.0,0,4,2015
10229316,0.0,0.0,0.0,0.0,0,1,2015
10231043,0.0,0.0,0.0,0.0,0,5,2015
10231108,0.0,0.0,0.0,0.0,0,7,2015
10231183,0.0,0.0,0.0,0.0,0,7,2015
10232295,0.0,0.0,0.0,0.0,0,13,2015
10233399,0.0,0.0,0.0,0.0,0,4,2015
10233801,0.0,0.0,0.0,0.0,0,4,2015
10234093,0.0,0.0,0.0,0.0,0,5,2015
10237343,0.0,0.0,0.0,0.0,0,5,2015
10238641,0.0,0.0,0.0,0.0,0,1,2015
10240530,0.0,0.0,0.0,0.0,0,8,2015
10242576,0.0,0.0,0.0,0.0,0,7,2015
10246008,0.0,0.0,0.0,0.0,0,5,2015
10247632,0.0,0.0,0.0,0.0,0,5,2015
10250692,0.0,0.0,0.0,0.0,0,5,2015
10251184,0.0,0.0,0.0,0.0,0,2,2015
10252237,0.0,0.0,0.0,0.0,0,1,2015
10252407,0.0,0.0,0.0,0.0,0,6,2015
10253594,0.0,0.0,0.0,0.0,0,2,2015
10255902,0.0,0.0,0.0,0.0,0,1,2015
10256186,0.0,0.0,0.0,0.0,0,5,2015
10256305,0.0,0.0,0.0,0.0,0,6,2015
10256887,0.0,0.0,0.0,0.0,0,5,2015
10257298,0.0,0.0,0.0,0.0,0,2,2015
10257832,0.0,0.0,0.0,0.0,0,1,2015
10257883,0.0,0.0,0.0,0.0,0,10,2015
10258413,0.0,0.0,0.0,0.0,0,1,2015
10258537,0.0,0.0,0.0,0.0,0,2,2015
10260140,0.0,0.0,0.0,0.0,0,5,2015
10260582,0.0,0.0,0.0,0.0,0,6,2015
10261341,0.0,0.0,0.0,0.0,0,5,2015
10262232,0.0,0.0,0.0,0.0,0,7,2015
10262275,0.0,0.0,0.0,0.0,0,7,2015
10263433,0.0,0.0,0.0,0.0,0,7,2015
10263638,0.0,0.0,0.0,0.0,0,9,2015
10263786,0.0,0.0,0.0,0.0,0,1,2015
10264081,0.0,0.0,0.0,0.0,0,10,2015
10265835,0.0,0.0,0.0,0.0,0,5,2015
10265886,0.0,0.0,0.0,0.0,0,7,2015
10266505,0.0,0.0,0.0,0.0,0,10,2015
10266998,0.0,0.0,0.0,0.0,0,7,2015
10268230,0.0,0.0,0.0,0.0,0,1,2015
10270731,0.0,0.0,0.0,0.0,0,1,2015
10271045,0.0,0.0,0.0,0.0,0,8,2015
10271339,0.0,0.0,0.0,0.0,0,5,2015
10273099,0.0,0.0,0.0,0.0,0,6,2015
10273242,0.0,0.0,0.0,0.0,0,5,2015
10273641,0.0,0.0,0.0,0.0,0,1,2015
10273803,0.0,0.0,0.0,0.0,0,3,2015
10274338,0.0,0.0,0.0,0.0,0,1,2015
10274389,0.0,0.0,0.0,0.0,0,7,2015
10278287,0.0,0.0,0.0,0.0,0,3,2015
10280796,0.0,0.0,0.0,0.0,0,9,2015
10283183,0.0,0.0,0.0,0.0,0,6,2015
10283477,0.0,0.0,0.0,0.0,0,2,2015
10284546,0.0,0.0,0.0,0.0,0,1,2015
10287545,0.0,0.0,0.0,0.0,0,1,2015
10289270,0.0,0.0,0.0,0.0,0,6,2015
10289297,0.0,0.0,0.0,0.0,0,2,2015
10289378,0.0,0.0,0.0,0.0,0,5,2015
10289890,0.0,0.0,0.0,0.0,0,1,2015
10291194,0.0,0.0,0.0,0.0,0,5,2015
10291895,0.0,0.0,0.0,0.0,0,4,2015
10296390,0.0,0.0,0.0,0.0,0,1,2015
10299837,0.0,0.0,0.0,0.0,0,2,2015
10303168,0.0,0.0,0.0,0.0,0,5,2015
10304296,0.0,0.0,0.0,0.0,0,7,2015
10304792,0.0,0.0,0.0,0.0,0,7,2015
10306086,0.0,0.0,0.0,0.0,0,5,2015
10306574,0.0,0.0,0.0,0.0,0,6,2015
10308976,0.0,0.0,0.0,0.0,0,6,2015
10310830,0.0,0.0,0.0,0.0,0,5,2015
10312175,0.0,0.0,0.0,0.0,0,1,2015
10312183,0.0,0.0,0.0,0.0,0,4,2015
10312604,0.0,0.0,0.0,0.0,0,3,2015
10313597,0.0,0.0,0.0,0.0,0,7,2015
10314240,0.0,0.0,0.0,0.0,0,5,2015
10314801,0.0,0.0,0.0,0.0,0,1,2015
10314879,0.0,0.0,0.0,0.0,0,5,2015
10315034,0.0,0.0,0.0,0.0,0,1,2015
10315409,0.0,0.0,0.0,0.0,0,5,2015
10316782,0.0,0.0,0.0,0.0,0,8,2015
10316944,0.0,0.0,0.0,0.0,0,1,2015
10321395,0.0,0.0,0.0,0.0,0,2,2015
10322111,0.0,0.0,0.0,0.0,0,7,2015
10325595,0.0,0.0,0.0,0.0,0,8,2015
10327245,0.0,0.0,0.0,0.0,0,8,2015
10329175,0.0,0.0,0.0,0.0,0,5,2015
10329477,0.0,0.0,0.0,0.0,0,10,2015
10329531,0.0,0.0,0.0,0.0,0,8,2015
10333431,0.0,0.0,0.0,0.0,0,1,2015
10337186,0.0,0.0,0.0,0.0,0,4,2015
10340187,0.0,0.0,0.0,0.0,0,2,2015
10340373,0.0,0.0,0.0,0.0,0,5,2015
10342201,0.0,0.0,0.0,0.0,0,1,2015
10342600,0.0,0.0,0.0,0.0,0,1,2015
10346045,0.0,0.0,0.0,0.0,0,1,2015
10347203,0.0,0.0,0.0,0.0,0,1,2015
10347599,0.0,0.0,0.0,0.0,0,5,2015
10347939,0.0,0.0,0.0,0.0,0,2,2015
10349842,0.0,0.0,0.0,0.0,0,7,2015
10351987,0.0,0.0,0.0,0.0,0,3,2015
10351995,0.0,0.0,0.0,0.0,0,6,2015
10352096,0.0,0.0,0.0,0.0,0,11,2015
10353246,0.0,0.0,0.0,0.0,0,5,2015
10354544,0.0,0.0,0.0,0.0,0,6,2015
10357047,0.0,0.0,0.0,0.0,0,10,2015
10357535,0.0,0.0,0.0,0.0,0,1,2015
10365007,0.0,0.0,0.0,0.0,0,7,2015
10367034,0.0,0.0,0.0,0.0,0,7,2015
10368332,0.0,0.0,0.0,0.0,0,6,2015
10369975,0.0,0.0,0.0,0.0,0,1,2015
10370094,0.0,0.0,0.0,0.0,0,6,2015
10370205,0.0,0.0,0.0,0.0,0,2,2015
10372232,0.0,0.0,0.0,0.0,0,3,2015
10373093,0.0,0.0,0.0,0.0,0,2,2015
10375649,0.0,0.0,0.0,0.0,0,8,2015
10376394,0.0,0.0,0.0,0.0,0,1,2015
10377633,0.0,0.0,0.0,0.0,0,1,2015
10377870,0.0,0.0,0.0,0.0,0,5,2015
10378540,0.0,0.0,0.0,0.0,0,5,2015
10379172,0.0,0.0,0.0,0.0,0,6,2015
10379709,0.0,0.0,0.0,0.0,0,2,2015
10381495,0.0,0.0,0.0,0.0,0,7,2015
10381584,0.0,0.0,0.0,0.0,0,3,2015
10382432,0.0,0.0,0.0,0.0,0,5,2015
10382971,0.0,0.0,0.0,0.0,0,1,2015
10383196,0.0,0.0,0.0,0.0,0,1,2015
10383242,0.0,0.0,0.0,0.0,0,5,2015
10383730,0.0,0.0,0.0,0.0,0,4,2015
10386209,0.0,0.0,0.0,0.0,0,5,2015
10388678,0.0,0.0,0.0,0.0,0,1,2015
10391237,0.0,0.0,0.0,0.0,0,9,2015
10391385,0.0,0.0,0.0,0.0,0,10,2015
10393108,0.0,0.0,0.0,0.0,0,1,2015
10393884,0.0,0.0,0.0,0.0,0,2,2015
10394791,0.0,0.0,0.0,0.0,0,2,2015
10400902,0.0,0.0,0.0,0.0,0,5,2015
10401070,0.0,0.0,0.0,0.0,0,7,2015
10401437,0.0,0.0,0.0,0.0,0,6,2015
10402107,0.0,0.0,0.0,0.0,0,4,2015
10404207,0.0,0.0,0.0,0.0,0,10,2015
10407788,0.0,0.0,0.0,0.0,0,1,2015
10408334,0.0,0.0,0.0,0.0,0,1,2015
10408830,0.0,0.0,0.0,0.0,0,5,2015
10411092,0.0,0.0,0.0,0.0,0,7,2015
10411599,0.0,0.0,0.0,0.0,0,5,2015
10413591,0.0,0.0,0.0,0.0,0,2,2015
10414830,0.0,0.0,0.0,0.0,0,7,2015
10414946,0.0,0.0,0.0,0.0,0,3,2015
10414970,0.0,0.0,0.0,0.0,0,5,2015
10417201,0.0,0.0,0.0,0.0,0,2,2015
10420008,0.0,0.0,0.0,0.0,0,14,2015
10420040,0.0,0.0,0.0,0.0,0,1,2015
10420288,0.0,0.0,0.0,0.0,0,1,2015
10420342,0.0,0.0,0.0,0.0,0,3,2015
10429803,0.0,0.0,0.0,0.0,0,12,2015
10429935,0.0,0.0,0.0,0.0,0,8,2015
10430402,0.0,0.0,0.0,0.0,0,5,2015
10431077,0.0,0.0,0.0,0.0,0,1,2015
10431395,0.0,0.0,0.0,0.0,0,7,2015
10435293,0.0,0.0,0.0,0.0,0,3,2015
10435633,0.0,0.0,0.0,0.0,0,10,2015
10437784,0.0,0.0,0.0,0.0,0,2,2015
10440076,0.0,0.0,0.0,0.0,0,1,2015
10441986,0.0,0.0,0.0,0.0,0,1,2015
10442281,0.0,0.0,0.0,0.0,0,1,2015
10443245,0.0,0.0,0.0,0.0,0,5,2015
10443296,0.0,0.0,0.0,0.0,0,4,2015
10446538,0.0,0.0,0.0,0.0,0,6,2015
10448239,0.0,0.0,0.0,0.0,0,1,2015
10448808,0.0,0.0,0.0,0.0,0,2,2015
10450977,0.0,0.0,0.0,0.0,0,5,2015
10452090,0.0,0.0,0.0,0.0,0,5,2015
10454433,0.0,0.0,0.0,0.0,0,7,2015
10456932,0.0,0.0,0.0,0.0,0,5,2015
10456975,0.0,0.0,0.0,0.0,0,5,2015
10460794,0.0,0.0,0.0,0.0,0,5,2015
10462908,0.0,0.0,0.0,0.0,0,1,2015
10470641,0.0,0.0,0.0,0.0,0,3,2015
10473314,0.0,0.0,0.0,0.0,0,5,2015
10473896,0.0,0.0,0.0,0.0,0,2,2015
10475104,0.0,0.0,0.0,0.0,0,1,2015
10475309,0.0,0.0,0.0,0.0,0,5,2015
10477328,0.0,0.0,0.0,0.0,0,1,2015
10479843,0.0,0.0,0.0,0.0,0,2,2015
10482631,0.0,0.0,0.0,0.0,0,5,2015
10484383,0.0,0.0,0.0,0.0,0,8,2015
10485037,0.0,0.0,0.0,0.0,0,1,2015
10485886,0.0,0.0,0.0,0.0,0,1,2015
10485932,0.0,0.0,0.0,0.0,0,1,2015
10486378,0.0,0.0,0.0,0.0,0,1,2015
10491592,0.0,0.0,0.0,0.0,0,1,2015
10492203,0.0,0.0,0.0,0.0,0,1,2015
10493749,0.0,0.0,0.0,0.0,0,8,2015
10498988,0.0,0.0,0.0,0.0,0,5,2015
10501237,0.0,0.0,0.0,0.0,0,1,2015
10501873,0.0,0.0,0.0,0.0,0,2,2015
10502438,0.0,0.0,0.0,0.0,0,5,2015
10503337,0.0,0.0,0.0,0.0,0,2,2015
10504228,0.0,0.0,0.0,0.0,0,2,2015
10508002,0.0,0.0,0.0,0.0,0,7,2015
10508746,0.0,0.0,0.0,0.0,0,6,2015
10508843,0.0,0.0,0.0,0.0,0,1,2015
10508940,0.0,0.0,0.0,0.0,0,7,2015
10509734,0.0,0.0,0.0,0.0,0,2,2015
10513138,0.0,0.0,0.0,0.0,0,1,2015
10513901,0.0,0.0,0.0,0.0,0,2,2015
10514991,0.0,0.0,0.0,0.0,0,11,2015
10516978,0.0,0.0,0.0,0.0,0,1,2015
10518393,0.0,0.0,0.0,0.0,0,1,2015
10520975,0.0,0.0,0.0,0.0,0,1,2015
10521777,0.0,0.0,0.0,0.0,0,5,2015
10522587,0.0,0.0,0.0,0.0,0,2,2015
10525292,0.0,0.0,0.0,0.0,0,8,2015
10527341,0.0,0.0,0.0,0.0,0,11,2015
10529840,0.0,0.0,0.0,0.0,0,9,2015
10530296,0.0,0.0,0.0,0.0,0,6,2015
10532388,0.0,0.0,0.0,0.0,0,5,2015
10533228,0.0,0.0,0.0,0.0,0,5,2015
10534208,0.0,0.0,0.0,0.0,0,3,2015
10535107,0.0,0.0,0.0,0.0,0,7,2015
10535131,0.0,0.0,0.0,0.0,0,1,2015
10539048,0.0,0.0,0.0,0.0,0,5,2015
10541697,0.0,0.0,0.0,0.0,0,5,2015
10546095,0.0,0.0,0.0,0.0,0,1,2015
10547377,0.0,0.0,0.0,0.0,0,8,2015
10548942,0.0,0.0,0.0,0.0,0,7,2015
10550645,0.0,0.0,0.0,0.0,0,1,2015
10556090,0.0,0.0,0.0,0.0,0,5,2015
10556392,0.0,0.0,0.0,0.0,0,1,2015
10557186,0.0,0.0,0.0,0.0,0,5,2015
10557275,0.0,0.0,0.0,0.0,0,5,2015
10557496,0.0,0.0,0.0,0.0,0,10,2015
10558743,0.0,0.0,0.0,0.0,0,4,2015
10561086,0.0,0.0,0.0,0.0,0,6,2015
10563593,0.0,0.0,0.0,0.0,0,5,2015
10564549,0.0,0.0,0.0,0.0,0,8,2015
10566274,0.0,0.0,0.0,0.0,0,2,2015
10566436,0.0,0.0,0.0,0.0,0,7,2015
10566975,0.0,0.0,0.0,0.0,0,5,2015
10567394,0.0,0.0,0.0,0.0,0,8,2015
10568501,0.0,0.0,0.0,0.0,0,6,2015
10569478,0.0,0.0,0.0,0.0,0,6,2015
10570344,0.0,0.0,0.0,0.0,0,13,2015
10570808,0.0,0.0,0.0,0.0,0,10,2015
10572037,0.0,0.0,0.0,0.0,0,5,2015
10572274,0.0,0.0,0.0,0.0,0,9,2015
10574749,0.0,0.0,0.0,0.0,0,6,2015
10575044,0.0,0.0,0.0,0.0,0,5,2015
10575575,0.0,0.0,0.0,0.0,0,1,2015
10575745,0.0,0.0,0.0,0.0,0,2,2015
10576490,0.0,0.0,0.0,0.0,0,3,2015
10577101,0.0,0.0,0.0,0.0,0,4,2015
10577276,0.0,0.0,0.0,0.0,0,10,2015
10579600,0.0,0.0,0.0,0.0,0,2,2015
10581796,0.0,0.0,0.0,0.0,0,5,2015
10582539,0.0,0.0,0.0,0.0,0,6,2015
10582733,0.0,0.0,0.0,0.0,0,3,2015
10583381,0.0,0.0,0.0,0.0,0,5,2015
10585007,0.0,0.0,0.0,0.0,0,1,2015
10585147,0.0,0.0,0.0,0.0,0,5,2015
10586437,0.0,0.0,0.0,0.0,0,5,2015
10588413,0.0,0.0,0.0,0.0,0,1,2015
10589584,0.0,0.0,0.0,0.0,0,5,2015
10590302,0.0,0.0,0.0,0.0,0,5,2015
10591473,0.0,0.0,0.0,0.0,0,6,2015
10591783,0.0,0.0,0.0,0.0,0,5,2015
10592739,0.0,0.0,0.0,0.0,0,3,2015
10594294,0.0,0.0,0.0,0.0,0,5,2015
10594707,0.0,0.0,0.0,0.0,0,7,2015
10594790,0.0,0.0,0.0,0.0,0,6,2015
10596505,0.0,0.0,0.0,0.0,0,11,2015
10598893,0.0,0.0,0.0,0.0,0,5,2015
10606691,0.0,0.0,0.0,0.0,0,3,2015
10607116,0.0,0.0,0.0,0.0,0,6,2015
10607671,0.0,0.0,0.0,0.0,0,2,2015
10612543,0.0,0.0,0.0,0.0,0,3,2015
10615984,0.0,0.0,0.0,0.0,0,5,2015
10618908,0.0,0.0,0.0,0.0,0,7,2015
10620899,0.0,0.0,0.0,0.0,0,5,2015
10621135,0.0,0.0,0.0,0.0,0,3,2015
10624088,0.0,0.0,0.0,0.0,0,4,2015
10626803,0.0,0.0,0.0,0.0,0,6,2015
10627931,0.0,0.0,0.0,0.0,0,1,2015
10630940,0.0,0.0,0.0,0.0,0,2,2015
10631580,0.0,0.0,0.0,0.0,0,2,2015
10632307,0.0,0.0,0.0,0.0,0,2,2015
10633370,0.0,0.0,0.0,0.0,0,3,2015
10634806,0.0,0.0,0.0,0.0,0,5,2015
10636574,0.0,0.0,0.0,0.0,0,39,2015
10637244,0.0,0.0,0.0,0.0,0,6,2015
10637449,0.0,0.0,0.0,0.0,0,5,2015
10642213,0.0,0.0,0.0,0.0,0,1,2015
10643376,0.0,0.0,0.0,0.0,0,5,2015
10644135,0.0,0.0,0.0,0.0,0,2,2015
10646405,0.0,0.0,0.0,0.0,0,7,2015
10646545,0.0,0.0,0.0,0.0,0,2,2015
10650674,0.0,0.0,0.0,0.0,0,5,2015
10655986,0.0,0.0,0.0,0.0,0,1,2015
10657989,0.0,0.0,0.0,0.0,0,1,2015
10659299,0.0,0.0,0.0,0.0,0,2,2015
10659396,0.0,0.0,0.0,0.0,0,4,2015
10659434,0.0,0.0,0.0,0.0,0,3,2015
10660041,0.0,0.0,0.0,0.0,0,7,2015
10660440,0.0,0.0,0.0,0.0,0,11,2015
10669898,0.0,0.0,0.0,0.0,0,6,2015
10670195,0.0,0.0,0.0,0.0,0,6,2015
10674689,0.0,0.0,0.0,0.0,0,1,2015
10674875,0.0,0.0,0.0,0.0,0,5,2015
10678412,0.0,0.0,0.0,0.0,0,5,2015
