CVR,CropCode,TotalMarkerArea,MarkerFieldCount
10092973,252,2.27,2
10092973,276,1.77,2
10092973,308,2.54,2
10092973,310,1.69,2
10092973,327,0.48,1
10092973,343,6.159999999999999,4
10092973,345,0.8200000000000001,3
10092973,583,3.69,2
10093589,1,54.269999999999996,3
10093589,11,39.5,5
10093589,111,18.09,1
10093589,113,36.24,3
10093589,120,11.25,1
10093589,160,47.260000000000005,6
10093589,276,0.5,2
10094291,1,12.629999999999999,2
10094291,10,11.67,1
10094291,11,39.11,5
10094291,22,10.88,3
10094291,172,2.86,2
10094291,247,2.76,1
10094291,252,3.12,4
10094291,263,0.59,1
10094291,709,2.66,1
10094305,1,9.75,2
10094305,11,23.22,2
10094305,22,18.740000000000002,2
10094305,260,0.5,1
10094305,280,0.65,1
10094305,325,0.63,1
10094305,602,1.03,1
10094305,701,0.93,1
10094992,252,5.27,3
10094992,263,4.54,2
10094992,276,2.49,1
10095182,11,7.120000000000001,2
10095182,264,0.74,1
10095182,286,2.46,1
10097738,1,37.55,5
10097738,5,1.12,1
10097738,11,26.45,2
10097738,15,17.08,2
10097738,22,17.09,1
10097738,31,14.89,3
10097738,101,20.08,2
10097738,109,14.8,1
10097738,252,1.14,1
10097738,276,8.700000000000001,4
10098505,1,29.710000000000004,8
10098505,11,90.64,11
10098505,22,19.119999999999997,4
10098505,160,12.01,1
10098505,252,0.46,1
10098505,276,0.21,1
10098505,327,3.45,7
10098807,22,7.74,2
10098807,252,12.27,9
10100038,250,4.720000000000001,3
10100038,583,0.62,1
10100135,151,17.43,1
10100135,216,8.47,1
10100135,325,0.88,1
10100747,1,7.18,1
10100747,10,8.89,3
10100747,11,8.1,1
10100747,264,0.09000000000000001,2
10100747,276,2.8500000000000005,3
10100747,308,0.22,1
10102375,1,20.900000000000002,5
10102375,10,5.87,1
10102375,11,2.33,1
10102375,263,0.07,1
10102375,271,0.3,1
10102375,276,2.19,1
10102383,3,9.39,1
10102383,11,18.11,3
10102383,22,16.04,1
10102383,252,1.4700000000000002,2
10102383,263,1.51,2
10105986,1,28.6,3
10105986,11,15.629999999999999,3
10105986,15,59.09,6
10105986,22,35.46000000000001,8
10105986,101,26.4,1
10105986,151,57.82000000000001,10
10105986,252,15.95,7
10105986,268,0.36,1
10105986,308,0.13,1
10107482,276,0.42,1
10107482,310,1.25,1
10107482,530,0.24,2
10107482,585,0.37,2
10107482,587,4.2,2
10108616,251,3.55,1
10108616,252,1.12,1
10108616,580,0.47,1
10108616,583,0.97,2
10108616,587,2.25,1
10110483,1,10.23,2
10110483,3,11.24,1
10110483,11,22.150000000000002,4
10110483,30,17.4,3
10111706,1,42.309999999999995,7
10111706,3,19.85,7
10111706,11,31.81,7
10111706,252,3.71,2
10111706,308,2.34,2
10112036,250,0.41,1
10112036,255,7.890000000000001,4
10112036,267,0.77,1
10112036,268,0.26,1
10112036,592,2.96,3
10112885,1,36.63,8
10112885,11,65.99,12
10112885,22,33.47,5
10112885,247,12.1,8
10112885,252,0.75,2
10112885,263,0.22,1
10112885,276,1.9199999999999997,5
10112885,308,6.56,7
10112885,528,0.49,1
10113369,252,9.42,6
10113369,257,2.19,2
10113369,276,1.2,1
10114292,1,21.96,3
10114292,3,7.199999999999999,2
10114292,216,18.3,7
10114292,252,9.090000000000002,3
10114292,254,19.46,5
10115590,1,9.01,4
10115590,10,5.64,2
10115590,11,18.709999999999997,7
10115590,252,0.64,1
10115590,310,0.01,1
10116112,11,8.7,1
10117097,1,33.21,2
10117097,10,15.44,1
10117097,11,18.630000000000003,2
10117097,22,12.68,2
10117097,252,0.8999999999999999,2
10117097,263,0.34,1
10117097,276,1.33,1
10117097,321,14.27,5
10117976,1,50.489999999999995,8
10117976,10,8.38,1
10117976,11,19.78,4
10117976,15,25.15,4
10117976,276,1.11,1
10117976,308,1.51,1
10120233,1,7.18,1
10120233,252,0.4,1
10120233,276,1.08,2
10120632,1,5.859999999999999,4
10120632,251,2.33,4
10120632,260,3.44,4
10120632,268,1.84,1
10123119,1,15.45,3
10123119,252,7.58,3
10123119,260,5.48,2
10123119,263,2.18,1
10123119,308,5.92,2
10123119,321,23.65,7
10123119,580,1.03,1
10123887,1,5.14,3
10123887,11,9.79,1
10123887,263,1.16,1
10124638,1,11.379999999999999,2
10124638,3,8.09,1
10124638,11,10.059999999999999,2
10124638,15,12.52,2
10124638,30,11.43,1
10124638,263,8.89,4
10126207,14,8.02,1
10126207,255,1.97,1
10126274,250,0.43,1
10126274,251,0.39,1
10126274,268,2.55,1
10126274,587,4.06,1
10126274,593,1.69,1
10127505,1,2.31,1
10127505,268,3.77,1
10127874,1,18.36,10
10127874,14,1.81,1
10127874,101,2.76,2
10127874,251,2.4699999999999998,2
10127874,252,0.71,1
10127874,260,1.51,2
10127874,261,0.48,1
10127874,276,1.05,2
10127874,580,0.7,1
10127874,583,6.130000000000001,9
10127874,603,2.8600000000000003,3
10130158,1,198.49,17
10130158,3,57.22,7
10130158,10,16.01,1
10130158,11,289.21000000000004,17
10130158,15,53.88999999999999,6
10130158,22,132.36,9
10130158,101,26.509999999999998,2
10130158,251,2.43,1
10130158,252,0.13,1
10130158,260,6.72,1
10130158,276,10.299999999999999,6
10130158,308,14.41,4
10130158,325,18.95,9
10130158,339,5.1,2
10130158,603,6.75,3
10133289,1,18.21,5
10133289,11,8.379999999999999,5
10133289,254,4.26,2
10133289,276,3.29,2
10133548,1,12.26,1
10133548,3,26.17,2
10133548,31,11.38,2
10133548,252,0.71,1
10133548,593,5.05,2
10133564,1,9.05,4
10133564,11,31.64,5
10133564,308,1.31,2
10133564,310,0.56,1
10133564,345,0.32999999999999996,2
10133645,1,6.61,2
10133645,15,5.9,1
10133645,152,0.2,1
10133645,263,4.41,1
10133645,268,4.87,1
10133904,1,31.1,3
10133904,2,15.74,2
10133904,3,15.86,2
10133904,7,9.55,1
10133904,252,12.85,8
10133904,260,14.52,2
10134986,263,0.45,1
10134986,578,4.74,5
10135109,252,8.19,5
10135109,260,68.47999999999999,26
10135443,1,2.09,2
10135443,10,3.3200000000000003,2
10135443,103,2.9299999999999997,2
10135443,252,0.3,1
10135443,260,4.58,3
10135443,261,1.52,1
10135443,580,1.44,3
10136407,1,12.969999999999999,2
10136407,3,6.26,1
10136407,252,14.920000000000002,7
10136407,260,36.120000000000005,8
10136407,310,0.06,1
10137195,1,13.52,4
10137195,3,12.44,5
10137195,10,6.029999999999999,2
10137195,11,42.040000000000006,8
10137195,15,25.31,2
10137195,22,24.99,5
10137195,252,0.25,1
10137195,260,0.04,1
10137195,308,4.1,3
10137195,701,0.17,1
10139996,252,4.04,1
10141087,252,7.1,8
10141087,268,1.96,1
10141796,1,6.29,3
10141796,11,14.64,3
10141796,15,1.02,1
10141796,101,7.85,1
10143438,1,48.7,5
10143438,11,29.85,4
10143438,22,17.24,2
10143438,271,1.04,3
10143438,308,2.3,3
10145201,1,15.43,5
10145201,15,3.48,1
10145201,252,6.489999999999999,7
10145201,260,2.41,3
10145201,280,2.64,1
10145201,450,0.11,1
10145201,701,1.0,2
10145597,251,6.58,5
10145597,263,0.52,1
10145597,276,2.22,2
10145600,276,13.93,2
10145600,310,3.4800000000000004,2
10146178,251,0.09,1
10146178,252,11.59,3
10146542,252,1.25,1
10146542,264,0.6,2
10146542,276,0.2,1
10146542,578,3.06,4
10147735,151,16.78,3
10147735,308,0.91,1
10149835,1,26.75,9
10149835,15,18.45,7
10149835,16,2.82,1
10149835,257,0.33,1
10149835,276,0.37,1
10149835,308,2.0100000000000002,3
10149835,603,1.7,1
10150175,1,38.29,12
10150175,3,7.880000000000001,3
10150175,30,7.07,3
10150175,31,10.96,3
10150175,216,18.29,4
10150175,252,1.75,2
10150175,260,98.22999999999999,23
10150760,1,55.04,3
10150760,2,20.700000000000003,3
10150760,11,120.82000000000001,10
10150760,22,26.479999999999997,2
10150760,108,38.57,4
10150760,216,15.34,3
10150760,264,18.73,1
10150760,276,10.13,8
10150760,308,4.89,7
10150760,327,1.0,1
10156092,216,53.550000000000004,9
10156092,252,1.45,2
10156092,257,6.83,1
10156092,260,46.35,8
10156092,308,5.08,2
10156092,701,17.8,3
10159377,1,17.150000000000002,4
10159377,3,2.28,1
10159377,11,3.12,1
10159377,22,2.79,1
10159377,276,0.72,1
10159377,321,0.23,1
10159679,1,36.41,3
10159679,2,13.969999999999999,2
10159679,15,31.98,2
10159679,247,13.510000000000002,8
10159679,581,32.83,3
10159679,583,1.68,1
10159695,216,3.85,1
10159695,587,7.95,1
10160170,5,1.23,2
10160170,250,1.74,2
10160170,267,13.57,9
10160170,578,4.53,6
10160170,583,10.82,7
10162203,1,6.05,3
10162203,252,4.35,5
10162203,263,1.08,1
10162467,1,4.1,1
10162467,2,4.359999999999999,3
10162467,3,4.35,3
10162467,252,0.99,1
10163374,1,3.91,1
10163374,3,5.22,1
10163374,252,5.8500000000000005,4
10163374,263,42.33,11
10163374,264,0.44,1
10163374,583,0.56,1
10163382,1,7.64,2
10163382,11,6.23,1
10163382,101,6.88,1
10163382,257,3.35,4
10163609,1,3.4799999999999995,3
10163609,268,3.4400000000000004,5
10164079,1,16.410000000000004,6
10164079,11,16.44,4
10164079,15,3.05,1
10164079,152,0.01,1
10164079,252,2.41,3
10164079,255,0.86,1
10164079,257,2.24,1
10164079,260,3.63,2
10164079,709,1.08,1
10164699,1,55.129999999999995,6
10164699,11,3.99,1
10164699,22,19.830000000000002,2
10164699,216,60.15,7
10164699,252,2.04,2
10164699,260,19.89,3
10164699,338,1.29,2
10164699,339,5.300000000000001,5
10165091,1,47.67,6
10165091,10,30.31,3
10165091,11,43.03,4
10165091,22,24.060000000000002,2
10165091,252,9.31,4
10165091,276,1.1,2
10165091,308,6.989999999999999,3
10165466,1,1.14,1
10165466,252,0.9,1
10165741,1,56.56,10
10165741,3,23.34,3
10165741,10,11.95,1
10165741,11,17.18,1
10165741,15,15.28,1
10165741,276,1.93,4
10165741,308,0.79,2
10165741,325,5.38,2
10166314,1,36.800000000000004,7
10166314,216,33.35,6
10166314,252,9.629999999999999,9
10166314,257,13.600000000000001,2
10166314,260,19.200000000000003,3
10166314,263,20.86,9
10166314,268,0.4,1
10166314,276,0.37,1
10166314,701,10.6,1
10166586,1,2.9899999999999998,2
10166586,2,10.899999999999999,2
10166586,3,21.65,5
10166586,4,19.95,4
10166586,7,12.969999999999999,4
10166586,11,5.94,1
10166586,14,0.59,1
10166586,15,5.62,2
10166586,250,0.37,1
10166586,252,5.1,5
10166586,260,51.769999999999996,15
10166675,1,8.71,2
10166675,3,5.57,1
10166675,14,9.95,2
10166675,152,0.98,1
10166675,214,15.29,2
10166675,252,12.16,7
10166675,254,4.79,4
10166675,260,55.70000000000001,12
10166675,450,1.1300000000000001,2
10166675,704,5.4,1
10166810,252,7.02,4
10166942,11,11.81,3
10166942,15,3.53,1
10166942,22,2.78,1
10166942,252,3.2800000000000002,2
10166942,308,1.66,1
10167728,1,77.55,6
10167728,4,3.06,5
10167728,11,67.06,6
10167728,13,51.04,3
10167728,22,82.14999999999999,9
10167728,108,50.71,4
10167728,111,14.08,3
10167728,113,18.66,2
10167728,120,24.32,3
10167728,260,10.22,4
10167728,263,4.12,1
10167728,268,0.23,1
10167728,271,0.13,1
10167728,276,8.01,11
10167728,308,18.57,5
10167728,327,0.23,2
10167728,583,11.52,5
10168120,251,0.77,1
10168120,252,3.27,3
10168880,250,3.24,3
10168880,251,1.92,2
10168880,583,2.32,5
10168945,252,3.7199999999999998,4
10168945,263,6.19,1
10169658,1,208.01,22
10169658,10,37.59,5
10169658,11,14.65,1
10169658,22,56.2,6
10169658,252,3.88,4
10169658,260,3.56,1
10169658,276,5.0,7
10169658,308,2.11,3
10170257,1,79.89,5
10170257,3,31.859999999999996,9
10170257,11,61.0,4
10170257,15,47.02,6
10170257,276,3.48,5
10170516,1,23.799999999999997,4
10170516,15,10.21,2
10170516,216,3.69,1
10170516,247,3.7,1
10170516,252,1.2,2
10170516,254,1.6,1
10170516,342,1.36,1
10171865,247,2.79,4
10171865,251,3.3899999999999997,2
10171865,267,3.46,2
10171865,592,0.66,1
10172055,252,1.07,2
10172055,585,0.49,1
10172055,587,5.0,2
10172098,3,169.2,35
10172098,9,28.47,4
10172098,14,48.87,10
10172098,22,35.35,5
10172098,30,33.0,9
10172098,101,68.47,13
10172098,105,28.5,5
10172098,247,4.77,3
10172098,250,2.54,1
10172098,252,202.64999999999998,35
10172098,254,52.25,8
10172098,260,8.01,4
10172098,261,35.519999999999996,7
10172098,263,2.63,2
10172098,266,2.14,1
10172098,318,158.89,6
10172098,580,1.69,1
10172098,907,0.67,1
10172829,257,4.36,4
10172829,587,4.0,1
10173256,247,3.19,2
10175216,251,5.49,3
10175216,267,0.9,2
10175216,276,2.2800000000000002,2
10175216,583,2.81,6
10175216,592,4.28,6
10175488,1,48.209999999999994,12
10175488,3,24.53,5
10175488,7,27.81,9
10175488,252,7.92,1
10175488,254,10.209999999999999,2
10175488,260,64.74,10
10176344,1,5.98,1
10176387,1,0.84,1
10176387,10,3.48,1
10176387,260,2.63,2
10176387,701,0.96,1
10176409,1,8.96,4
10176409,10,23.89,4
10176409,11,31.019999999999996,5
10176409,22,21.02,2
10176409,216,27.049999999999997,3
10176409,263,2.25,3
10176441,1,35.68,4
10176441,11,11.34,2
10176441,22,10.649999999999999,3
10176441,216,14.829999999999998,5
10176441,252,6.119999999999999,3
10176441,260,26.18,5
10176441,701,0.76,1
10178878,3,16.4,4
10178878,14,19.130000000000003,4
10178878,152,0.02,1
10178878,250,0.49,1
10178878,252,18.72,13
10178878,254,44.43,20
10178878,260,27.46,9
10178878,318,1.37,3
10178878,703,7.09,2
10178878,704,6.359999999999999,4
10178878,907,3.31,12
10179483,1,12.85,3
10179483,22,8.96,2
10179483,251,1.33,2
10179483,308,0.39,2
10179483,327,0.9099999999999999,4
10179483,345,0.55,1
10179939,14,9.0,1
10179939,215,14.55,3
10179939,260,72.19,11
10180031,1,15.919999999999998,3
10180031,10,18.12,3
10180031,11,38.230000000000004,6
10180031,22,23.03,5
10180031,160,22.67,4
10180031,276,1.1400000000000001,2
10180031,334,1.62,4
10180031,339,1.19,4
10180031,424,15.09,1
10180120,210,1.11,1
10180120,252,1.65,1
10180120,263,3.82,3
10180554,1,3.68,2
10180554,22,13.72,1
10180554,264,3.1999999999999997,4
10183138,1,13.54,3
10183138,11,10.74,3
10183138,16,9.78,1
10184096,1,5.01,2
10184096,255,1.5699999999999998,2
10184096,260,7.57,4
10184096,263,1.44,2
10184096,701,1.71,2
10186838,15,13.92,3
10186838,252,2.83,3
10186838,263,3.33,2
10186838,701,4.73,2
10187486,1,2.68,1
10187486,3,3.68,1
10187486,10,7.2,1
10187486,11,24.4,4
10187486,251,4.21,2
10187486,263,1.03,1
10187486,701,2.25,1
10191300,1,5.74,2
10191300,252,2.3,3
10191300,255,0.8800000000000001,2
10191696,252,4.66,2
10195012,1,25.64,3
10195012,2,3.1,1
10195012,11,18.93,2
10195012,276,6.94,2
10195276,210,7.0600000000000005,2
10195276,252,8.600000000000001,8
10195276,260,6.87,3
10195276,263,0.44,1
10195276,580,3.33,3
10195896,251,1.54,1
10195896,252,3.47,2
10195896,271,0.41,1
10195896,324,2.16,1
10195896,580,2.8,1
10196132,1,11.11,3
10196132,216,84.31,17
10196132,255,2.88,1
10196132,260,58.53,9
10196132,271,4.1000000000000005,3
10196795,1,13.51,4
10196795,10,11.11,1
10196795,263,2.11,2
10197007,247,2.08,1
10197007,260,2.39,1
10197007,318,0.11,1
10197430,10,14.399999999999999,2
10197430,11,17.229999999999997,3
10197430,15,16.3,2
10197430,22,11.38,1
10197430,276,1.91,1
10197430,308,3.34,4
10197430,310,1.38,1
10199093,11,18.39,2
10199093,16,5.8,1
10199093,308,1.05,1
10199093,327,0.3,1
10200830,1,9.03,1
10200830,252,5.48,4
10200830,255,3.19,3
10200830,257,0.88,1
10200830,262,3.55,1
10200830,263,0.08,1
10200903,1,13.709999999999999,5
10200903,5,0.13,2
10200903,11,22.68,10
10200903,160,13.129999999999999,5
10200903,267,6.72,1
10200903,268,21.28,2
10200903,310,0.99,2
10200903,343,6.2,2
10200903,514,0.01,1
10200903,521,0.72,2
10200903,523,0.22,1
10200903,528,0.1,1
10200903,539,0.08,1
10201446,1,0.73,1
10201446,257,0.28,1
10201446,311,0.8,1
10201446,321,0.8,1
10201446,580,3.3600000000000003,5
10201446,583,3.25,3
10201446,587,2.0,1
10201845,1,28.349999999999998,7
10201845,11,7.02,1
10201845,252,3.67,4
10201845,254,6.81,2
10201845,260,47.760000000000005,12
10201845,324,0.15,1
10201845,701,7.23,1
10202299,1,26.509999999999998,3
10202299,11,36.0,4
10202299,22,24.619999999999997,4
10202299,251,2.77,2
10202299,276,4.140000000000001,2
10202299,308,3.99,2
10202302,250,4.62,3
10202302,255,0.45,1
10202574,1,16.869999999999997,2
10202574,216,20.259999999999998,2
10202574,252,3.3099999999999996,2
10202574,263,0.35,1
10202574,268,18.549999999999997,2
10202833,1,9.299999999999999,6
10202833,11,4.14,1
10202833,252,7.05,4
10202833,263,1.2200000000000002,2
10203090,1,4.96,3
10203090,11,3.77,2
10203090,250,0.38,1
10203090,252,3.51,5
10203090,260,1.7599999999999998,3
10205190,1,15.61,2
10205190,10,20.99,5
10205190,216,19.75,4
10205190,252,41.349999999999994,21
10205190,260,21.25,6
10205190,276,1.98,3
10205190,308,3.98,2
10205190,327,0.6900000000000001,4
10210925,1,40.23,19
10210925,150,1.77,1
10210925,151,29.64,10
10210925,252,19.48,11
10210925,263,17.91,10
10215846,11,9.46,5
10215846,251,0.88,1
10216443,1,5.3999999999999995,2
10216443,11,9.13,3
10216443,252,1.75,2
10216443,260,0.62,1
10216443,263,0.11,1
10216443,308,0.36,1
10216443,327,0.13,1
10216710,3,27.18,2
10216710,11,26.800000000000004,5
10216710,15,35.0,6
10216710,22,14.9,4
