OriginalPesticideRowID,companyname,companyregistrationnumber,streetname,streetbuildingidentifier,flooridentifier,postcodeidentifier,city,acreagesize,acreageunit,name,code,pesticidename,pesticideregistrationnumber,dosagequantity,dosageunit,nopesticides
1268,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,643-1,46.75,4,0
1308,,10133793,Nordmarken,4,nan,5750,Ringe,0.2591,2,Potteplanter,545,,677-3,0.887,2,0
1309,,10133793,Nordmarken,4,nan,5750,Ringe,0.255,2,Potteplanter,545,,643-1,0.625,4,0
1310,,10133793,Nordmarken,4,nan,5750,Ringe,0.785,2,Potteplanter,545,,738-3,0.775,4,0
1311,,10133793,Nordmarken,4,nan,5750,Ringe,1.4291,2,Potteplanter,545,,880-3,0.4495,2,0
1312,,10133793,Nordmarken,4,nan,5750,Ringe,0.331,2,Potteplanter,545,,561-6,0.1,2,0
1313,,10133793,Nordmarken,4,nan,5750,Ringe,1.26,2,Potteplanter,545,,561-3,0.63,2,0
1314,,10133793,Nordmarken,4,nan,5750,Ringe,1.055,2,Potteplanter,545,,632-5,1.05,4,0
1315,,10133793,Nordmarken,4,nan,5750,Ringe,0.8395,2,Potteplanter,545,,18-544,9.911,4,0
1316,,10133793,Nordmarken,4,nan,5750,Ringe,0.008,2,Potteplanter,545,,18-581,0.06,4,0
1317,,10133793,Nordmarken,4,nan,5750,Ringe,0.1288,2,Potteplanter,545,,1-201,0.125,2,0
1318,,10133793,Nordmarken,4,nan,5750,Ringe,1.58,2,Potteplanter,545,,1038-1,4.828,2,0
1319,,10133793,Nordmarken,4,nan,5750,Ringe,0.2297,2,Potteplanter,545,,19-151,0.48,2,0
1320,,10133793,Nordmarken,4,nan,5750,Ringe,0.065,2,Potteplanter,545,,526-3,0.233,4,0
1321,,10133793,Nordmarken,4,nan,5750,Ringe,0.495,2,Potteplanter,545,,364-67,2.96,4,0
1322,,10133793,Nordmarken,4,nan,5750,Ringe,0.6,2,Øvrige afgrøder,900,,48-16,0.9,4,0
1323,,10133793,Nordmarken,4,nan,5750,Ringe,0.059,2,Potteplanter,545,,526-14,2.9,4,0
1324,,10133793,Nordmarken,4,nan,5750,Ringe,1.6275,2,Potteplanter,545,,880-9,4.755,2,0
1540,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,1-195,0.18,4,0
1541,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,352-5,0.445,2,0
1542,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,632-5,0.5,4,0
1543,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,526-13,0.575,2,0
1544,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,1-172,0.9,4,0
1545,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,18-544,0.36,4,0
1546,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,18-549,1.15,4,0
1547,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,18-581,0.2,4,0
1548,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,364-67,2.214,4,0
1549,,10163110,Kirkegade,25,nan,7870,Roslev,1.39,2,Potteplanter,545,,1-253,1.362,2,0
1980,,10196132,Ryttervænget,55,nan,6520,Toftlund,,,nan,,,nan,,,1
2102,,10208408,Torvet,6,nan,7860,Spøttrup,0.1,2,Ikke støtteberettiget landbrugsareal,361,,357-15,2e-06,2,0
2103,,10208408,Torvet,6,nan,7860,Spøttrup,0.14,2,Potteplanter,545,,1-172,0.00014,2,0
2104,,10208408,Torvet,6,nan,7860,Spøttrup,0.06,2,Potteplanter,545,,49-94,1.2e-05,2,0
2105,,10208408,Torvet,6,nan,7860,Spøttrup,0.14,2,Potteplanter,545,,561-3,2.8e-05,2,0
2172,,10220769,Kocksvej,7,nan,3600,Frederikssund,,,nan,,,nan,,,1
2173,,10220815,Kelstrupskovvej,2,nan,5492,Vissenbjerg,8.89,2,Juletræer og pyntegrønt,583,,1067-3,1.2,4,0
2174,,10220815,Kelstrupskovvej,2,nan,5492,Vissenbjerg,8.89,2,Juletræer og pyntegrønt,583,,1-252,2.4,2,0
2175,,10220815,Kelstrupskovvej,2,nan,5492,Vissenbjerg,8.89,2,Juletræer og pyntegrønt,583,,347-5,7.0,4,0
2176,,10220815,Kelstrupskovvej,2,nan,5492,Vissenbjerg,8.89,2,Juletræer og pyntegrønt,583,,396-12,2.0,4,0
2177,,10220815,Kelstrupskovvej,2,nan,5492,Vissenbjerg,8.89,2,Juletræer og pyntegrønt,583,,18-669,40.0,4,0
2589,,10268893,Legindvej,13,nan,7900,Nykøbing M,2.9,2,Øvrige afgrøder,900,,19-241,16.95,4,0
2590,,10268893,Legindvej,13,nan,7900,Nykøbing M,0.22,2,Øvrige afgrøder,900,,18-682,0.4,4,0
2628,,10273242,Gludstedvej,34,nan,7361,Ejstrupholm,,,nan,,,nan,,,1
2733,,10289378,Hygildvej,15,nan,7361,Ejstrupholm,,,nan,,,nan,,,1
2962,,10312493,Albækvej,6,nan,7480,Vildbjerg,0.01,2,Krydderurter (undtagen persille og purløg),432,,396-78,0.015,2,0
2963,,10312493,Albækvej,6,nan,7480,Vildbjerg,1.1,2,Centnergræskar,553,,357-4,2.8,4,0
2964,,10312493,Albækvej,6,nan,7480,Vildbjerg,0.14,2,"Småplanter, en-årige",548,,18-414,0.002,4,0
3158,,10327296,Dølbyvej,166,nan,7800,Skive,,,nan,,,nan,,,1
3409,,10357039,Ølstvadbrovej,16,nan,8940,Randers SV,6.213,2,"Planteskolekulturer, stauder",547,,18-549,4.347,4,0
3410,,10357039,Ølstvadbrovej,16,nan,8940,Randers SV,0.85,2,"Planteskolekulturer, stauder",547,,1-201,0.85,2,0
3411,,10357039,Ølstvadbrovej,16,nan,8940,Randers SV,12.272,2,"Planteskolekulturer, stauder",547,,18-407,36.816,2,0
3412,,10357039,Ølstvadbrovej,16,nan,8940,Randers SV,3.654,2,"Planteskolekulturer, stauder",547,,396-41,3.654,4,0
3413,,10357039,Ølstvadbrovej,16,nan,8940,Randers SV,4.836,2,"Planteskolekulturer, stauder",547,,352-13,1.935,4,0
3514,,10360897,Industriparken,9,nan,4960,Holeby,1.53,2,Spinatfrø,124,,352-5,0.4,2,0
3515,,10360897,Industriparken,9,nan,4960,Holeby,0.32,2,"Olieræddike til frø, radisefrø",655,,396-77,0.12,2,0
3516,,10360897,Industriparken,9,nan,4960,Holeby,0.32,2,"Olieræddike til frø, radisefrø",655,,19-151,0.3,2,0
3517,,10360897,Industriparken,9,nan,4960,Holeby,1.53,2,Spinatfrø,124,,396-78,0.44,2,0
3518,,10360897,Industriparken,9,nan,4960,Holeby,1.53,2,Spinatfrø,124,,396-77,0.61,2,0
3519,,10360897,Industriparken,9,nan,4960,Holeby,1.53,2,Spinatfrø,124,,19-151,3.1,2,0
3520,,10360897,Industriparken,9,nan,4960,Holeby,1.53,2,Spinatfrø,124,,1-195,0.44,2,0
4093,,10401070,Teestrup Overdrevsvej,2,nan,4690,Haslev,,,nan,,,nan,,,1
4327,,10427681,Brobyvej,39,nan,4180,Sorø,,,nan,,,nan,,,1
4781,,10485932,Rårudvej,1,nan,5771,Stenstrup,,,nan,,,nan,,,1
4782,,10492041,Nymandsvej,16,nan,8444,Balle,180.26,2,Juletræer og pyntegrønt,583,,364-12,1.0,4,0
4783,,10492041,Nymandsvej,16,nan,8444,Balle,180.26,2,Juletræer og pyntegrønt,583,,48-16,9.0,4,0
4784,,10492041,Nymandsvej,16,nan,8444,Balle,180.26,2,Juletræer og pyntegrønt,583,,526-21,8.62,4,0
4785,,10492041,Nymandsvej,16,nan,8444,Balle,180.26,2,Juletræer og pyntegrønt,583,,347-5,4.0,4,0
4893,,10508746,Hammelvej,19,nan,8670,Låsby,,,nan,,,nan,,,1
5152,,10563593,Pilhusevej,9,nan,7540,Haderup,,,nan,,,nan,,,1
5175,,10564301,Svingelvej,11,nan,8840,Rødkærsbro,,,nan,,,nan,,,1
5366,,10575001,Kastvråvej,1A,nan,6560,Sommersted,,,nan,,,nan,,,1
5368,,10575745,Sandbjergvej,18,nan,6760,Ribe,,,nan,,,nan,,,1
6007,,10674042,Fjelsted Søvej,16,nan,9550,Mariager,,,nan,,,nan,,,1
6089,,10682584,Nedre Vej,28,nan,8930,Randers NØ,,,nan,,,nan,,,1
6202,,10717345,Middelfartvej,105,nan,5492,Vissenbjerg,16.1,2,Juletræer og pyntegrønt,583,,756-8,48.0,4,0
6217,,10725437,Lergårdsvej,5,nan,4050,Skibby,,,nan,,,nan,,,1
6512,,10781108,Kirkevej,19,nan,6600,Vejen,,,nan,,,nan,,,1
7430,,10872588,Bødskovgårdvej,16,nan,8653,Them,10.78,2,Juletræer og pyntegrønt,583,,48-16,15.71,4,0
7431,,10872588,Bødskovgårdvej,16,nan,8653,Them,3.84,2,Juletræer og pyntegrønt,583,,18-514,1.13,4,0
7432,,10872588,Bødskovgårdvej,16,nan,8653,Them,2.98,2,Juletræer og pyntegrønt,583,,18-567,0.7,2,0
7655,,10890195,Løvbrøndvej,70,nan,9830,Tårs,18.69,2,Juletræer og pyntegrønt,583,,48-43,56.07,4,0
7656,,10890195,Løvbrøndvej,70,nan,9830,Tårs,18.69,2,Juletræer og pyntegrønt,583,,561-3,3.738,2,0
7657,,10890195,Løvbrøndvej,70,nan,9830,Tårs,18.69,2,Juletræer og pyntegrønt,583,,347-5,14.952,4,0
7845,,10908884,Lyvej,30,nan,4900,Nakskov,94.72,2,"Svingelfrø, strand-",111,,347-36,0.3159,2,0
7846,,10908884,Lyvej,30,nan,4900,Nakskov,94.72,2,"Svingelfrø, strand-",111,,18-416,9.4755,4,0
7847,,10908884,Lyvej,30,nan,4900,Nakskov,228.37,2,Vinterraps,22,,64-91,79.9295,4,0
7848,,10908884,Lyvej,30,nan,4900,Nakskov,361.87,2,Vinterhvede,11,,396-82,14.047,4,0
7849,,10908884,Lyvej,30,nan,4900,Nakskov,426.15,2,Vårbyg,1,,756-2,82.475,4,0
7850,,10908884,Lyvej,30,nan,4900,Nakskov,228.37,2,Vinterraps,22,,396-12,98.794,4,0
7851,,10908884,Lyvej,30,nan,4900,Nakskov,94.72,2,"Svingelfrø, strand-",111,,396-12,7.517,4,0
7852,,10908884,Lyvej,30,nan,4900,Nakskov,277.54,2,Sukkerroer til fabrik,160,,756-2,546.125,4,0
7853,,10908884,Lyvej,30,nan,4900,Nakskov,228.37,2,Vinterraps,22,,64-72,285.4625,4,0
7854,,10908884,Lyvej,30,nan,4900,Nakskov,228.37,2,Vinterraps,22,,396-77,58.634,2,0
7855,,10908884,Lyvej,30,nan,4900,Nakskov,361.87,2,Vinterhvede,11,,756-2,442.535,4,0
7856,,10908884,Lyvej,30,nan,4900,Nakskov,361.87,2,Vinterhvede,11,,18-416,18.0935,4,0
7857,,10908884,Lyvej,30,nan,4900,Nakskov,361.87,2,Vinterhvede,11,,1-211,505.66,4,0
7858,,10908884,Lyvej,30,nan,4900,Nakskov,361.87,2,Vinterhvede,11,,396-53,73.29,4,0
7859,,10908884,Lyvej,30,nan,4900,Nakskov,361.87,2,Vinterhvede,11,,396-77,29.259,2,0
7860,,10908884,Lyvej,30,nan,4900,Nakskov,361.87,2,Vinterhvede,11,,18-505,136.69,4,0
7861,,10908884,Lyvej,30,nan,4900,Nakskov,361.87,2,Vinterhvede,11,,18-631,54.2805,4,0
8192,,10946204,Dølbyvej,168,nan,7800,Skive,,,nan,,,nan,,,1
8457,,10985544,Grydholtvej,5,nan,7500,Holstebro,,,nan,,,nan,,,1
9361,,11054900,Stenderup Byvej,1,nan,6520,Toftlund,45.54,2,Juletræer og pyntegrønt,583,,347-5,45.54,4,0
9362,,11054900,Stenderup Byvej,1,nan,6520,Toftlund,45.54,2,Juletræer og pyntegrønt,583,,526-21,6.0,4,0
9363,,11054900,Stenderup Byvej,1,nan,6520,Toftlund,45.54,2,Juletræer og pyntegrønt,583,,18-669,80.0,4,0
9364,,11054900,Stenderup Byvej,1,nan,6520,Toftlund,45.54,2,Juletræer og pyntegrønt,583,,1-252,12.0,2,0
9577,,11082599,Krusåvej,4,nan,6300,Gråsten,,,nan,,,nan,,,1
10277,,11146694,Ørnstrupvej,164,nan,8781,Stenderup,6.52,2,Juletræer og pyntegrønt,583,,396-91,13.04,4,0
11549,,11270042,Torsbækvej,6,nan,6880,Tarm,,,nan,,,nan,,,1
12549,,11350305,Attrupvej,17,nan,9310,Vodskov,6.11,2,Juletræer og pyntegrønt,583,,18-669,5.14,4,0
12550,,11350305,Attrupvej,17,nan,9310,Vodskov,6.11,2,Juletræer og pyntegrønt,583,,347-7,1.285,4,0
13384,,11426484,Silkeborgvej,30,nan,8800,Viborg,,,nan,,,nan,,,1
13463,,11439837,Hedelundvej,17,nan,6840,Oksbøl,,,nan,,,nan,,,1
13665,,11459587,Møgelmose,120,nan,6200,Aabenraa,,,nan,,,nan,,,1
14150,,11495834,Pottervej,6,nan,7323,Give,,,nan,,,nan,,,1
14465,,11512674,Brandtlundvej,14,nan,7080,Børkop,,,nan,,,nan,,,1
14627,,11540201,Lindholtvej,4,nan,4440,Mørkøv,15.0,2,Skovdrift med fjernelse af ved,581,,756-9,60.0,4,0
14628,,11540201,Lindholtvej,4,nan,4440,Mørkøv,38.0,2,Juletræer og pyntegrønt,583,,561-3,9.0,2,0
14629,,11540201,Lindholtvej,4,nan,4440,Mørkøv,13.0,2,Juletræer og pyntegrønt,583,,1-252,5.0,2,0
14951,,11551386,Egeskovvej,3,nan,8800,Viborg,22.17,2,Juletræer og pyntegrønt,583,,18-686,5.175,4,0
15011,,11558593,Skadebjergvej,3,nan,6430,Nordborg,1.0,2,Vinterhvede,11,,18-666,0.5,4,0
15012,,11558593,Skadebjergvej,3,nan,6430,Nordborg,1.0,2,Vinterhvede,11,,18-631,0.5,4,0
15013,,11558593,Skadebjergvej,3,nan,6430,Nordborg,1.0,2,Vinterhvede,11,,18-564,0.7,4,0
15014,,11558593,Skadebjergvej,3,nan,6430,Nordborg,1.0,2,Vinterhvede,11,,396-82,0.05,4,0
15015,,11558593,Skadebjergvej,3,nan,6430,Nordborg,1.0,2,Vinterhvede,11,,19-240,0.6,4,0
15133,,11570674,Nyborgvej,616,nan,5220,Odense SØ,0.54,2,Potteplanter,545,,18-549,0.465,4,0
15134,,11570674,Nyborgvej,616,nan,5220,Odense SØ,0.54,2,Potteplanter,545,,738-3,1.393,4,0
15135,,11570674,Nyborgvej,616,nan,5220,Odense SØ,0.54,2,Potteplanter,545,,561-3,0.3,2,0
15136,,11570674,Nyborgvej,616,nan,5220,Odense SØ,0.54,2,Potteplanter,545,,19-92,0.075,2,0
15137,,11570674,Nyborgvej,616,nan,5220,Odense SØ,0.54,2,Potteplanter,545,,558-5,0.644,4,0
15138,,11570674,Nyborgvej,616,nan,5220,Odense SØ,0.54,2,Potteplanter,545,,544-3,2.4,4,0
15139,,11570674,Nyborgvej,616,nan,5220,Odense SØ,0.54,2,Potteplanter,545,,1-192,0.161,4,0
15140,,11570674,Nyborgvej,616,nan,5220,Odense SØ,0.54,2,Potteplanter,545,,352-5,0.093,2,0
15156,,11592392,Hunderupvej,192,nan,5230,Odense M,2.41,2,Juletræer og pyntegrønt,583,,18-484,0.315,2,0
15157,,11592392,Hunderupvej,192,nan,5230,Odense M,2.41,2,Juletræer og pyntegrønt,583,,1-252,1.45,2,0
15180,,11728138,Gudumlundvej,18,nan,7620,Lemvig,,,nan,,,nan,,,1
15324,,11745873,Strøbyvej,21,nan,5450,Otterup,3.02,2,Potteplanter,545,,64-51,0.913,4,0
15325,,11745873,Strøbyvej,21,nan,5450,Otterup,3.02,2,Potteplanter,545,,526-3,0.25,4,0
15326,,11745873,Strøbyvej,21,nan,5450,Otterup,3.34,2,Potteplanter,545,,643-1,20.0,4,0
15327,,11745873,Strøbyvej,21,nan,5450,Otterup,3.34,2,Potteplanter,545,,18-549,0.75,4,0
15328,,11745873,Strøbyvej,21,nan,5450,Otterup,3.02,2,Potteplanter,545,,526-13,0.15,2,0
15329,,11745873,Strøbyvej,21,nan,5450,Otterup,3.02,2,Potteplanter,545,,526-14,230.0,4,0
15330,,11745873,Strøbyvej,21,nan,5450,Otterup,3.02,2,Potteplanter,545,,632-5,6.815,4,0
15331,,11745873,Strøbyvej,21,nan,5450,Otterup,3.02,2,Potteplanter,545,,561-3,0.1,2,0
15332,,11745873,Strøbyvej,21,nan,5450,Otterup,3.34,2,Potteplanter,545,,1-253,1.34,2,0
15333,,11745873,Strøbyvej,21,nan,5450,Otterup,3.34,2,Potteplanter,545,,352-5,1.17,2,0
15334,,11745873,Strøbyvej,21,nan,5450,Otterup,3.34,2,Potteplanter,545,,364-67,5.4,4,0
15335,,11745873,Strøbyvej,21,nan,5450,Otterup,3.34,2,Potteplanter,545,,1-201,0.25,2,0
15336,,11745873,Strøbyvej,21,nan,5450,Otterup,3.34,2,Potteplanter,545,,18-414,1.335,4,0
15337,,11751830,Voer Gade,1,nan,8950,Ørsted,38.77,2,Vinterhybridrug,15,,18-631,9.404,4,0
15338,,11751830,Voer Gade,1,nan,8950,Ørsted,38.77,2,Vinterhybridrug,15,,18-416,0.806,4,0
15339,,11751830,Voer Gade,1,nan,8950,Ørsted,52.84,2,Vinterraps,22,,64-72,66.05,4,0
15340,,11751830,Voer Gade,1,nan,8950,Ørsted,38.77,2,Vinterhybridrug,15,,396-77,5.542,2,0
15341,,11751830,Voer Gade,1,nan,8950,Ørsted,52.84,2,Vinterraps,22,,19-207,16.734,4,0
15342,,11751830,Voer Gade,1,nan,8950,Ørsted,63.35,2,Vinterhvede,11,,18-416,1.11,4,0
15343,,11751830,Voer Gade,1,nan,8950,Ørsted,63.35,2,Vinterhvede,11,,18-631,22.172,4,0
15344,,11751830,Voer Gade,1,nan,8950,Ørsted,52.84,2,Vinterraps,22,,64-91,25.025,4,0
15345,,11751830,Voer Gade,1,nan,8950,Ørsted,16.51,2,Vinterbyg,10,,1-211,8.255,4,0
15346,,11751830,Voer Gade,1,nan,8950,Ørsted,63.35,2,Vinterhvede,11,,1-211,27.74,4,0
15347,,11751830,Voer Gade,1,nan,8950,Ørsted,52.84,2,Vinterraps,22,,347-25,5.284,2,0
15348,,11751830,Voer Gade,1,nan,8950,Ørsted,38.77,2,Vinterhybridrug,15,,1-211,13.855,4,0
15349,,11751830,Voer Gade,1,nan,8950,Ørsted,16.51,2,Vinterbyg,10,,396-77,1.651,2,0
15350,,11751830,Voer Gade,1,nan,8950,Ørsted,63.35,2,Vinterhvede,11,,396-77,0.787,2,0
15675,,11782302,Vads Møllevej,13,nan,8350,Hundslund,,,nan,,,nan,,,1
16472,,11852491,Teglværkssvinget,9,nan,9500,Hobro,,,nan,,,nan,,,1
16701,,11885977,Frydendahlsvej,1,nan,6510,Gram,,,nan,,,nan,,,1
16935,,11915701,Tivekrogen,9,nan,5863,Ferritslev Fyn,,,nan,,,nan,,,1
17130,,11939899,Søndermarksvej,33,nan,9500,Hobro,21.12,2,Vårbyg,1,,64-68,6.336,4,0
17131,,11939899,Søndermarksvej,33,nan,9500,Hobro,45.45,2,Silomajs med græsudlæg,218,,18-442,2.272,2,0
17132,,11939899,Søndermarksvej,33,nan,9500,Hobro,21.12,2,Vårbyg,1,,11-72,0.047,2,0
17133,,11939899,Søndermarksvej,33,nan,9500,Hobro,21.12,2,Vårbyg,1,,347-36,0.164,2,0
17134,,11939899,Søndermarksvej,33,nan,9500,Hobro,45.45,2,Silomajs med græsudlæg,218,,11-72,0.256,2,0
17135,,11939899,Søndermarksvej,33,nan,9500,Hobro,21.12,2,Vårbyg,1,,396-77,4.0,2,0
17136,,11939899,Søndermarksvej,33,nan,9500,Hobro,45.45,2,Silomajs med græsudlæg,218,,1-224,5.0,2,0
17137,,11939899,Søndermarksvej,33,nan,9500,Hobro,21.12,2,Vårbyg,1,,19-184,5.0,4,0
17151,,11942504,Fåborgvej,49,nan,5750,Ringe,,,nan,,,nan,,,1
17285,,11954006,Bakkegaardsvej,8A,nan,9560,Hadsund,,,nan,,,nan,,,1
17480,,11997848,Vilstedvej,143,nan,9670,Løgstør,,,nan,,,nan,,,1
17510,,12006047,Søbjærgvej,1,nan,4330,Hvalsø,5.56,2,Juletræer og pyntegrønt,583,,561-3,1.39,2,0
17511,,12006047,Søbjærgvej,1,nan,4330,Hvalsø,9.8,2,Juletræer og pyntegrønt,583,,48-16,29.4,4,0
17512,,12006047,Søbjærgvej,1,nan,4330,Hvalsø,5.56,2,Juletræer og pyntegrønt,583,,19-34,22.24,2,0
