CVR,CropCode,TotalSumPesticideApplicationArea,PesticideApplicationCount,DistinctAcreageValuesCount,MaxPesticideApplicationArea
10115590,10,50.76,9,1,5.64
10115590,11,205.81,11,1,18.71
10117097,1,332.1,10,1,33.21
10117097,10,123.52,8,1,15.44
10117097,11,149.04,8,1,18.63
10117097,22,139.48,11,1,12.68
10117976,1,338.72,9,6,50.31
10117976,10,33.52,4,1,8.38
10117976,11,126.30000000000001,7,3,19.66
10117976,15,50.46,3,3,25.23
10120233,1,21.54,3,1,7.18
10123119,1,97.74,6,1,16.29
10123887,1,30.6,6,1,5.1
10123887,11,58.61999999999999,6,1,9.77
10124638,1,68.28,6,1,11.38
10124638,3,48.54,6,1,8.09
10124638,11,50.300000000000004,5,1,10.06
10124638,15,75.11999999999999,6,1,12.52
10124638,30,45.72,4,1,11.43
10127874,1,117.28,8,3,17.82
10127874,114,15.0,6,1,2.5
10127874,583,4.96,2,2,3.56
10130158,1,1787.4900000000002,9,1,198.61
10130158,3,171.54,3,1,57.18
10130158,10,260.15,5,1,52.03
10130158,11,4921.2,15,1,328.08
10130158,15,215.84,4,1,53.96
10130158,22,1191.69,9,1,132.41
10130158,101,159.06,6,1,26.51
10132851,499,38.58,6,1,6.43
10132851,545,148.16,16,1,9.26
10132851,900,1.0,1,1,1.0
10133289,1,109.26000000000002,6,1,18.21
10133289,11,41.900000000000006,5,1,8.38
10133564,1,81.45,9,1,9.05
10133564,11,347.93,11,1,31.63
10133645,1,38.940000000000005,6,1,6.49
10133645,15,29.55,5,1,5.91
10133793,545,9.6986,16,16,1.6847
10133793,900,1.25,1,1,1.25
10135443,1,2.09,1,1,2.09
10135443,10,3.32,1,1,3.32
10137195,1,94.36000000000001,7,1,13.48
10137195,3,49.76,4,1,12.44
10137195,10,36.18,6,1,6.03
10137195,11,419.4,10,1,41.94
10137195,15,126.44999999999999,5,1,25.29
10137195,22,149.88,6,1,24.98
10141796,1,31.45,5,1,6.29
10141796,11,93.67,8,3,14.49
10141796,15,2.04,2,1,1.02
10141796,101,38.55,5,1,7.71
10143438,1,340.90000000000003,7,1,48.7
10143438,11,268.65,9,1,29.85
10143438,22,103.43999999999998,6,1,17.24
10145201,1,61.72,4,1,15.43
10145201,15,6.94,2,1,3.47
10145201,280,13.200000000000001,5,1,2.64
10145201,701,1.0,1,1,1.0
10147735,151,117.46000000000001,7,1,16.78
10149835,1,187.60000000000002,7,1,26.8
10149835,15,92.25,5,1,18.45
10149835,16,14.099999999999998,5,1,2.82
10150760,1,772.44,12,1,64.37
10150760,2,123.2,11,1,11.2
10150760,11,1448.8799999999999,12,1,120.74
10150760,22,131.7,5,1,26.34
10150760,108,192.85,5,1,38.57
10150760,216,60.92,4,1,15.23
10156092,216,267.75,5,1,53.55
10159377,1,137.20000000000002,8,1,17.15
10159377,3,9.12,4,1,2.28
10159377,11,18.72,6,1,3.12
10159377,22,19.53,7,1,2.79
10159679,1,216.6,6,1,36.1
10159679,6,83.28,6,1,13.88
10159679,15,255.68,8,1,31.96
10159679,583,1.64,1,1,1.64
10160170,5,5.92,4,1,1.48
10160170,267,15.04,1,1,15.04
10162203,1,12.1,2,1,6.05
10163110,545,16.68,12,1,1.39
10163110,900,0.9,1,1,0.9
10163374,1,35.19,9,1,3.91
10163374,3,20.88,4,1,5.22
10163374,252,5.73,1,1,5.73
10163374,263,42.24,1,1,42.24
10163382,1,38.199999999999996,5,1,7.64
10163382,11,43.61,7,1,6.23
10163382,101,48.02,7,1,6.86
10164079,1,131.28,8,1,16.41
10164079,11,115.08,7,1,16.44
10164079,15,12.2,4,1,3.05
10164699,1,274.6,5,1,54.92
10164699,11,19.950000000000003,5,1,3.99
10164699,22,99.14999999999999,5,1,19.83
10164699,216,300.05,5,1,60.01
10165091,1,474.8,10,1,47.48
10165091,10,181.85999999999999,6,1,30.31
10165091,11,386.82,9,1,42.98
10165091,22,192.48,8,1,24.06
10165741,1,452.48,8,1,56.56
10165741,3,140.04,6,1,23.34
10165741,10,59.75,5,1,11.95
10165741,11,120.26,7,1,17.18
10165741,15,76.39999999999999,5,1,15.28
10166314,1,220.55999999999997,6,1,36.76
10166314,216,166.70000000000002,5,1,33.34
10166314,701,42.4,4,1,10.6
10166942,11,70.86,6,1,11.81
10166942,15,24.709999999999997,7,1,3.53
10166942,22,11.12,4,1,2.78
10167728,1,1240.8,16,1,77.55
10167728,11,801.0,12,1,66.75
10167728,13,560.67,11,1,50.97
10167728,22,656.32,8,1,82.04
10167728,108,304.26,6,1,50.71
10167728,111,97.44,7,1,13.92
10167728,113,74.64,4,1,18.66
10167728,120,145.92000000000002,6,1,24.32
10169658,1,2284.81,11,1,207.71
10169658,10,413.49,11,1,37.59
10169658,11,161.15000000000003,11,1,14.65
10169658,22,505.80000000000007,9,1,56.2
10170257,1,399.45,5,1,79.89
10170257,3,95.31,3,1,31.77
10170257,11,366.0,6,1,61.0
10170257,15,188.08,4,1,47.02
10170516,1,190.79999999999998,8,1,23.85
10170516,15,30.75,3,1,10.25
10170516,216,14.76,4,1,3.69
10171091,1,49.68,4,1,12.42
10171091,11,215.25,7,1,30.75
10176409,1,53.760000000000005,6,1,8.96
10176409,10,214.56,9,1,23.84
10176409,11,217.14000000000001,7,1,31.02
10176409,22,105.1,5,1,21.02
10176409,216,108.2,4,1,27.05
10176409,268,1.27,1,1,1.27
10176441,1,285.44,8,1,35.68
10176441,11,68.03999999999999,6,1,11.34
10176441,22,31.950000000000003,3,1,10.65
10176441,216,44.49,3,1,14.83
10176530,1,50.33,7,1,7.19
10179033,547,0.6,1,1,0.6
10179483,1,89.13999999999999,7,2,12.85
10179483,22,38.040000000000006,5,2,8.96
10180031,1,127.36,8,1,15.92
10180031,10,198.77,11,1,18.07
10180031,11,458.04000000000013,12,1,38.17
10180031,22,161.07,7,1,23.01
10180031,160,225.79999999999995,10,1,22.58
10180031,424,120.72,8,1,15.09
10180554,1,22.080000000000002,6,1,3.68
10180554,22,82.32000000000001,6,1,13.72
10183138,1,40.62,3,1,13.54
10183138,11,53.7,5,1,10.74
10183138,16,58.67999999999999,6,1,9.78
10184096,1,15.03,3,1,5.01
10184096,701,1.69,1,1,1.69
10186838,15,41.76,3,1,13.92
10187486,1,13.4,5,1,2.68
10187486,3,18.400000000000002,5,1,3.68
10187486,10,28.68,4,1,7.17
10187486,11,243.1,10,1,24.31
10187486,701,8.88,4,1,2.22
10195012,1,256.4,10,1,25.64
10195012,2,18.6,6,1,3.1
10195012,11,151.44,8,1,18.93
10195276,210,14.12,2,1,7.06
10196132,1,66.66,6,1,11.11
10196132,216,337.04,4,1,84.26
10196795,1,81.06,6,1,13.51
10196795,10,55.55,5,1,11.11
10197430,10,86.4,6,1,14.4
10197430,11,137.84,8,1,17.23
10197430,15,146.7,9,1,16.3
10197430,22,68.28,6,1,11.38
10199093,11,110.34,6,1,18.39
10199093,16,34.8,6,1,5.8
10200903,1,27.42,3,3,13.71
10200903,11,145.63,10,7,22.53
10200903,160,71.25,6,2,13.13
10202299,1,212.08,8,1,26.51
10202299,11,430.68,12,1,35.89
10202299,22,196.72,8,1,24.59
10202574,1,84.14999999999999,5,1,16.83
10202574,216,100.85000000000001,5,1,20.17
10202833,1,62.92,7,2,9.3
10202833,11,33.12,8,1,4.14
10203090,1,14.879999999999999,3,1,4.96
10203090,11,22.62,6,1,3.77
10205190,1,78.0,5,1,15.6
10205190,10,125.93999999999998,6,1,20.99
10205190,216,118.5,6,1,19.75
10208408,545,0.34,3,2,0.14
10215846,11,47.300000000000004,5,1,9.46
10216443,1,32.339999999999996,6,1,5.39
10216443,11,63.91000000000001,7,1,9.13
10216710,3,27.18,1,1,27.18
10216710,11,241.10999999999999,9,1,26.79
10216710,15,246.19000000000005,7,1,35.17
10216710,22,29.8,2,1,14.9
10217474,1,157.57,7,1,22.51
10217474,10,41.519999999999996,6,1,6.92
10217474,11,17.99,7,1,2.57
10217474,22,28.17,3,1,9.39
10218349,1,640.4399999999999,9,1,71.16
10218349,11,514.8,10,1,51.48
10218349,15,89.52,4,1,22.38
10220483,1,209.10000000000002,6,1,34.85
10220483,221,274.4,8,1,34.3
10220769,1,281.93,11,1,25.63
10220769,11,902.8500000000001,13,1,69.45
10220815,583,53.34,6,1,8.89
10223822,1,125.68,8,1,15.71
10223822,6,59.88,4,1,14.97
10223822,13,84.25,5,1,16.85
10223822,14,21.93,3,1,7.31
10223822,15,39.21,3,1,13.07
10223822,22,26.26,2,1,13.13
10223822,101,54.04,4,1,13.51
10225760,1,27.8,4,1,6.95
10225760,11,39.63,3,1,13.21
10225760,22,10.8,1,1,10.8
10225760,31,21.57,3,1,7.19
10231108,1,241.22,7,1,34.46
10231108,2,14.799999999999999,5,1,2.96
10231108,10,186.56000000000003,11,1,16.96
10231108,11,480.9,10,1,48.09
10231108,13,315.84,8,1,39.48
10231108,22,231.21,9,1,25.69
10231183,1,57.540000000000006,6,1,9.59
10231183,11,67.41000000000001,7,1,9.63
10232295,11,70.88,8,1,8.86
10232295,216,32.099999999999994,3,1,10.7
10233399,1,35.52,8,1,4.44
10233399,3,13.42,2,1,6.71
10233399,10,16.73,7,1,2.39
10233399,11,90.48,6,1,15.08
10233496,1,25.18,2,1,12.59
10233496,216,97.08000000000001,6,1,16.18
10238641,1,150.66,6,1,25.11
10238641,10,218.70000000000002,5,1,43.74
10238641,11,387.79999999999995,7,1,55.4
10238641,15,283.56,4,1,70.89
10238641,22,277.32,6,1,46.22
10242576,1,98.10000000000001,6,1,16.35
10242576,11,51.73,7,1,7.39
10242576,22,89.35000000000001,5,1,17.87
10242576,111,49.67999999999999,6,1,8.28
10242576,160,138.04,7,1,19.72
10242576,520,6.84,2,1,3.42
10246008,1,10.64,2,1,5.32
10246849,1,34.599999999999994,5,1,6.92
10246849,2,6.48,4,1,1.62
10246849,11,66.15,7,1,9.45
10247497,1,216.95999999999998,6,1,36.16
10247497,10,266.84,7,1,38.12
10247497,11,174.87,9,1,19.43
10247497,15,277.97,7,1,39.71
10247497,22,76.10000000000001,5,1,15.22
10250544,1,297.78000000000003,6,1,49.63
10250544,3,61.67999999999999,3,1,20.56
10250544,11,140.22,6,1,23.37
10250544,15,94.35000000000001,5,1,18.87
10250692,1,41.88,3,1,13.96
10250692,11,442.7999999999999,12,1,36.9
10250692,152,97.83,9,1,10.87
10250692,424,1.34,1,1,1.34
10250692,450,0.84,1,1,0.84
10250692,513,141.48000000000002,9,1,15.72
10251184,3,8.86,2,1,4.43
10251184,11,25.68,3,1,8.56
10257298,11,429.99,11,1,39.09
10257298,22,179.54999999999998,9,1,19.95
10257832,1,65.79,9,1,7.31
10257832,2,1.96,4,1,0.49
10257832,30,13.77,3,1,4.59
10260582,1,197.6,8,1,24.7
10260582,11,591.84,8,1,73.98
10260582,160,776.8000000000001,8,1,97.1
10261783,1,73.62,6,1,12.27
10261783,11,32.8,4,1,8.2
10265886,1,92.15,5,1,18.43
10265886,10,198.05999999999997,6,1,33.01
10265886,11,198.64,8,1,24.83
10265886,22,112.88,4,1,28.22
10265886,216,174.52,4,1,43.63
10265886,968,221.72,4,1,55.43
10266505,1,738.72,6,1,123.12
10266505,3,9.1,2,1,4.55
10266505,10,123.66,6,1,20.61
10266505,11,1548.8000000000002,10,1,154.88
10266505,15,188.88,6,1,31.48
10266505,151,232.0,8,1,29.0
10267404,1,203.82,6,1,33.97
10267404,11,115.57000000000001,7,1,16.51
10267404,22,17.35,5,1,3.47
10268893,900,2.3000000000000003,3,2,2.1
10271045,1,272.7,10,1,27.27
10271045,11,597.8700000000001,9,1,66.43
10271045,22,265.85999999999996,7,1,37.98
10273803,1,245.70000000000002,9,1,27.3
10273803,3,67.15,5,1,13.43
10273803,11,336.42,9,1,37.38
10273803,22,149.31,7,1,21.33
10273803,101,164.28,6,1,27.38
10274133,1,151.44000000000003,8,1,18.93
10274133,11,182.5,10,1,18.25
10274133,108,20.28,3,1,6.76
10274338,1,226.44,6,1,37.74
10274338,10,65.4,6,1,10.9
10274338,11,96.25,5,1,19.25
10274338,15,40.38000000000001,6,1,6.73
10278287,1,15.0,5,1,3.0
10278287,11,50.190000000000005,7,1,7.17
10278287,22,29.900000000000002,5,1,5.98
10283477,1,127.44,3,1,42.48
10283477,11,94.85000000000001,7,1,13.55
10283477,22,50.32,4,1,12.58
10289297,522,0.17,1,1,0.17
10289297,528,1.61,1,1,1.61
10289378,1,45.78,6,1,7.63
10289378,151,159.92000000000002,8,1,19.99
10289505,1,744.37,11,1,67.67
10289505,11,354.42,11,1,32.22
10289505,22,59.88000000000001,6,1,9.98
10289505,107,169.89999999999998,5,1,33.98
10289505,160,121.80000000000001,7,1,17.4
10291194,216,47.48,4,1,11.87
10291895,1,53.699999999999996,3,1,17.9
10291895,11,122.5,5,1,24.5
10291895,15,99.84,6,1,16.64
10291895,22,97.38000000000001,6,1,16.23
10291895,160,67.35000000000001,5,1,13.47
10294274,1,72.6,6,1,12.1
10294274,11,81.2,7,1,11.6
10294274,22,13.4,2,1,6.7
10294274,160,64.8,7,2,10.3
10296005,1,34.68,4,1,8.67
10296005,15,28.14,3,1,9.38
10303095,1,106.24,4,1,26.56
10303095,31,65.1,5,1,13.02
10303095,151,112.2,10,1,11.22
10306086,22,49.77,7,1,7.11
10306574,15,59.01,7,1,8.43
10308542,1,111.09,7,1,15.87
10308542,11,44.8,8,1,5.6
10308542,22,34.75,5,1,6.95
10308976,15,59.28,8,1,7.41
10309735,1,143.54999999999998,9,1,15.95
10309735,11,434.0,14,1,31.0
10309735,101,116.34,6,1,19.39
10309735,124,131.34,11,1,11.94
10311179,1,70.12,4,1,17.53
10311179,2,28.66,2,1,14.33
10311179,3,1.99,1,1,1.99
10311233,1,102.41000000000001,7,1,14.63
10311233,2,11.4,6,1,1.9
10311233,11,133.28,8,1,16.66
10312183,1,115.91999999999999,8,1,14.49
10312183,11,133.68,8,1,16.71
10312183,116,97.09,7,1,13.87
10312183,214,11.98,1,1,11.98
10312183,216,337.04,8,1,42.13
10312183,263,18.71,1,1,18.71
10312493,432,0.01,1,1,0.01
10312493,548,0.29000000000000004,2,2,0.15
10312493,553,1.1,1,1,1.1
10313597,11,84.56,8,1,10.57
10314240,1,161.7,6,1,26.95
10314240,3,7.58,2,1,3.79
10314240,15,86.95,5,1,17.39
10315409,1,371.94,6,1,61.99
10315409,10,169.19,7,1,24.17
10315409,11,103.08000000000001,6,1,17.18
10315409,22,121.02000000000001,6,1,20.17
10315581,583,59.0,2,2,34.0
10321395,1,989.5200000000001,12,1,82.46
10321395,10,309.09999999999997,11,1,28.1
10321395,11,2165.8,17,1,127.4
10321395,15,338.85,9,1,37.65
10321395,22,275.85,9,1,30.65
10321395,101,169.47,7,1,24.21
10321395,149,425.37,11,1,38.67
10322294,1,252.84,12,1,21.07
10322294,11,199.81,13,1,15.37
10322294,15,22.77,9,1,2.53
10325595,1,42.0,6,1,7.0
10325595,2,74.45,5,1,14.89
10325595,10,160.08,8,1,20.01
10325595,11,668.1999999999998,10,1,66.82
10325595,22,118.68,6,1,19.78
10327245,1,68.24,4,1,17.06
10329531,1,57.06,6,1,9.51
10329531,216,230.24,4,1,57.56
10331870,3,60.38,2,1,30.19
10331870,11,464.0400000000001,6,1,77.34
10331870,15,44.76,3,1,14.92
10331870,22,204.36,6,1,34.06
10333431,1,182.64000000000001,6,1,30.44
10333431,3,59.85,5,1,11.97
10333431,10,221.6,10,1,22.16
10333431,11,305.05999999999995,7,1,43.58
10333431,16,85.33,7,1,12.19
10333431,22,288.96,6,1,48.16
10333431,101,115.8,6,1,19.3
10340373,15,30.2,5,1,6.04
10347203,1,295.14,6,1,49.19
10347203,11,85.5,5,1,17.1
10347203,15,286.58,7,1,40.94
10351375,1,184.4,10,1,18.44
10351375,22,62.04,6,1,10.34
10351375,101,71.68,7,1,10.24
10351987,1,299.1,6,1,49.85
10351987,10,175.36,8,1,21.92
10351987,11,204.19000000000005,7,1,29.17
10351987,15,144.83,7,1,20.69
10351987,22,111.25,5,1,22.25
10351995,216,73.43,7,1,10.49
10352096,1,404.8,10,1,40.48
10352096,11,156.60000000000002,12,1,13.05
10352096,210,19.26,9,1,2.14
10352096,216,248.12,4,1,62.03
10354684,1,353.43,7,1,50.49
10354684,10,55.35,5,1,11.07
10354684,151,522.72,12,1,43.56
10356873,1,80.03999999999999,6,1,13.34
10356873,11,377.82,9,1,41.98
10356873,22,72.42,6,1,12.07
10357039,547,35.631,5,5,10.231
10357047,1,834.9000000000001,11,1,75.9
10357047,7,61.6,4,1,15.4
10357047,11,394.9199999999999,12,1,32.91
10357047,14,269.64,12,1,22.47
10357047,22,153.48,6,1,25.58
10359007,1,89.54,11,1,8.14
10359007,11,488.4000000000001,20,1,24.42
10359007,21,100.31,7,1,14.33
10359007,22,1169.6,16,1,73.1
10359007,107,403.59,11,1,36.69
10359007,343,0.38,1,1,0.38
10360897,124,6.25,5,1,1.25
10360897,655,0.33,2,1,0.165
10361478,1,228.2,7,1,32.6
10361478,11,27.400000000000002,5,1,5.48
10361478,152,3.12,2,1,1.56
10361478,160,83.88000000000001,6,1,13.98
10365007,216,167.48,4,1,41.87
10365171,1,548.9,11,1,49.9
10365171,21,12.0,4,1,3.0
10365171,150,29.2,5,1,5.84
10365171,151,601.5000000000001,15,1,40.1
10365171,216,271.6,4,1,67.9
10366798,1,173.64000000000001,6,1,28.94
10366798,10,28.02,6,1,4.67
10366798,11,50.7,6,1,8.45
10366984,1,96.67,7,1,13.81
10366984,3,84.84,6,1,14.14
10366984,11,218.05,7,1,31.15
10368332,1,24.4,4,1,6.1
10368332,2,19.12,4,1,4.78
10368332,210,29.12,4,1,7.28
10370094,1,12.22,2,1,6.11
10370094,11,20.86,2,1,10.43
10370094,15,39.0,2,1,19.5
10370094,216,86.84,4,1,21.71
10375649,1,26.22,3,1,8.74
10375649,214,15.88,2,1,7.94
10375797,1,62.08999999999999,7,1,8.87
10375797,3,34.04,4,1,8.51
10375797,10,106.4,7,1,15.2
10375797,11,125.68000000000004,8,1,15.71
10375886,1,982.2,10,1,98.22
10375886,2,38.4,6,1,6.4
10375886,10,354.08,8,1,44.26
10375886,11,1142.8,10,1,114.28
10375886,22,91.94999999999999,3,1,30.65
10375886,101,66.08,7,1,9.44
10375886,108,197.39999999999998,6,1,32.9
10375886,113,59.15,5,1,11.83
10376505,1,56.040000000000006,6,1,9.34
10376505,11,21.14,7,1,3.02
10376505,15,14.32,4,1,3.58
10376505,280,10.56,6,1,1.76
10377633,1,53.72,2,1,26.86
10377633,11,12.71,1,1,12.71
10379172,1,7.61,1,1,7.61
10379172,3,7.23,1,1,7.23
10379849,1,918.5,10,1,91.85
10379849,13,1686.1000000000001,13,1,129.7
10379849,22,654.96,8,1,81.87
10382432,3,126.6,5,1,25.32
10382432,11,559.6,10,1,55.96
10382432,22,163.12,8,1,20.39
10382440,11,160.58,9,2,19.53
10382440,31,107.08,4,1,26.77
10382602,1,264.32,8,1,33.04
10382602,11,665.76,12,1,55.48
10382602,160,202.64,8,1,25.33
10383242,1,60.33999999999999,7,1,8.62
10383242,11,134.54,7,1,19.22
10383633,1,7.52,2,1,3.76
10383633,11,19.68,3,1,6.56
10383730,1,78.2,5,1,15.64
10383730,10,13.559999999999999,3,1,4.52
10383730,15,11.92,2,1,5.96
10383730,30,27.86,2,1,13.93
10383730,216,224.35,7,1,32.05
10383730,701,40.6,2,1,20.3
10386209,1,54.699999999999996,5,1,10.94
10386209,15,82.94999999999999,7,1,11.85
